coverage_id,evidence_id,thesis_area,item_type,thesis_readiness,source_id,source_known_in_literature_index,source_status,source_relevance,final_citation_readiness,primary_artifact,primary_artifact_exists,supporting_artifact_count,supporting_artifact_exists_count,limitation_present,coverage_status,thesis_use_gate_de
coverage_016_interpretation_h3_top_tier_signal_lit_granger_001,interpretation_h3_top_tier_signal,H3,interpretation,thesis_facing_ready,lit_granger_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/thesis_h3_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_017_interpretation_h3_top_tier_signal_zotero_poly_005,interpretation_h3_top_tier_signal,H3,interpretation,thesis_facing_ready,zotero_poly_005,True,skimmed,medium,needs_full_source_review_before_final_citation,data/results/thesis_h3_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_018_interpretation_h3_top_tier_signal_zotero_poly_001,interpretation_h3_top_tier_signal,H3,interpretation,thesis_facing_ready,zotero_poly_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/thesis_h3_summary.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_019_method_h3_granger_timing_lit_granger_001,method_h3_granger_timing,H3,method,thesis_facing_ready,lit_granger_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h3_granger_results.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_020_method_h3_granger_timing_zotero_poly_005,method_h3_granger_timing,H3,method,thesis_facing_ready,zotero_poly_005,True,skimmed,medium,needs_full_source_review_before_final_citation,data/results/h3_granger_results.csv,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_021_method_h3_wallet_tiers_zotero_poly_001,method_h3_wallet_tiers,H3,method,thesis_facing_ready,zotero_poly_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/h3_wallet_distribution_inventory.json,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_022_method_h3_wallet_tiers_zotero_poly_005,method_h3_wallet_tiers,H3,method,thesis_facing_ready,zotero_poly_005,True,skimmed,medium,needs_full_source_review_before_final_citation,data/results/h3_wallet_distribution_inventory.json,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_023_method_h3_wallet_tiers_zotero_poly_007,method_h3_wallet_tiers,H3,method,thesis_facing_ready,zotero_poly_007,True,skimmed,medium,needs_full_source_review_before_final_citation,data/results/h3_wallet_distribution_inventory.json,True,2,2,True,source_mapped_final_review_pending,Draft nutzbar; keine finale Zitation ohne manuelle Source Review und deterministische Artefaktbindung.
coverage_024_interpretation_monitor_review_queue_zotero_poly_006,interpretation_monitor_review_queue,monitor_prototype,interpretation,appendix_prototype_only,zotero_poly_006,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/monitor_anomaly_review_summary.csv,True,2,2,True,appendix_source_mapped_human_review_pending,Nur Appendix/Prototype; keine finale Zitation ohne Human Review und Source Review.
coverage_025_interpretation_monitor_review_queue_zotero_poly_009,interpretation_monitor_review_queue,monitor_prototype,interpretation,appendix_prototype_only,zotero_poly_009,True,skimmed,medium,needs_full_source_review_before_final_citation,data/results/monitor_anomaly_review_summary.csv,True,2,2,True,appendix_source_mapped_human_review_pending,Nur Appendix/Prototype; keine finale Zitation ohne Human Review und Source Review.
coverage_026_method_monitor_prototype_zotero_poly_001,method_monitor_prototype,monitor_prototype,method,appendix_prototype_only,zotero_poly_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/monitor_anomaly_review_summary.csv,True,3,3,True,appendix_source_mapped_human_review_pending,Nur Appendix/Prototype; keine finale Zitation ohne Human Review und Source Review.
coverage_027_method_monitor_prototype_zotero_poly_006,method_monitor_prototype,monitor_prototype,method,appendix_prototype_only,zotero_poly_006,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/monitor_anomaly_review_summary.csv,True,3,3,True,appendix_source_mapped_human_review_pending,Nur Appendix/Prototype; keine finale Zitation ohne Human Review und Source Review.
coverage_028_method_monitor_prototype_zotero_poly_009,method_monitor_prototype,monitor_prototype,method,appendix_prototype_only,zotero_poly_009,True,skimmed,medium,needs_full_source_review_before_final_citation,data/results/monitor_anomaly_review_summary.csv,True,3,3,True,appendix_source_mapped_human_review_pending,Nur Appendix/Prototype; keine finale Zitation ohne Human Review und Source Review.
coverage_029_interpretation_swiss_gap_pending_zotero_poly_002,interpretation_swiss_gap_pending,swiss_referendum,interpretation,post_result_mapped_bounded,zotero_poly_002,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/swiss_referendum_10mio_final_case_study.csv,True,2,2,True,post_result_source_mapped_review_pending,Post-result mapped; keine finale Zitation ohne Source Review und sichtbare Poll-Proxy-Limitation.
coverage_030_method_swiss_running_comparison_zotero_poly_002,method_swiss_running_comparison,swiss_referendum,method,post_result_mapped_bounded,zotero_poly_002,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/swiss_referendum_10mio_final_case_study.csv,True,7,7,True,post_result_source_mapped_review_pending,Post-result mapped; keine finale Zitation ohne Source Review und sichtbare Poll-Proxy-Limitation.
coverage_031_method_swiss_running_comparison_lit_brier_001,method_swiss_running_comparison,swiss_referendum,method,post_result_mapped_bounded,lit_brier_001,True,skimmed,high,needs_full_source_review_before_final_citation,data/results/swiss_referendum_10mio_final_case_study.csv,True,7,7,True,post_result_source_mapped_review_pending,Post-result mapped; keine finale Zitation ohne Source Review und sichtbare Poll-Proxy-Limitation.
