timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,event_candidate_id,event_review_status,evidence_ref,limitation,review_status
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,active_wallet_activity,active_wallets,2.0,,,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,market,volume_activity,volume,1125.0,event_candidate_mock_geo_001,accepted,live_market_snapshots:volume,diagnostic local live-style fixture; source availability varies,candidate
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,10.645448706505872,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,10.819798284210286,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,active_wallet_activity,active_wallets,7.0,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,active_wallet_activity,active_wallets,22.0,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,hhi_concentration,0.51,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:hhi_concentration,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,top_tier_share,0.67,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:top_tier_share,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,market,market_move,absolute_midpoint_change,0.040000000000000036,event_candidate_mock_geo_001,accepted,live_market_snapshots:price_midpoint,diagnostic local live-style fixture; no live source or orderbook claim,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,market,spread_liquidity,spread,0.02,event_candidate_mock_geo_001,accepted,live_market_snapshots:spread,diagnostic local live-style fixture; source availability varies,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,market,volume_activity,volume,1840.0,event_candidate_mock_geo_001,accepted,live_market_snapshots:volume,diagnostic local live-style fixture; source availability varies,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,11.736077016252437,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,11.034905792929415,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,active_wallet_activity,active_wallets,4.0,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,active_wallet_activity,active_wallets,18.0,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,hhi_concentration,0.51,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:hhi_concentration,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,top_tier_share,0.67,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:top_tier_share,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,market,market_move,absolute_midpoint_change,0.010000000000000009,event_candidate_mock_geo_001,accepted,live_market_snapshots:price_midpoint,diagnostic local live-style fixture; no live source or orderbook claim,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,market,spread_liquidity,spread,0.02,event_candidate_mock_geo_001,accepted,live_market_snapshots:spread,diagnostic local live-style fixture; source availability varies,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,market,volume_activity,volume,1550.0,event_candidate_mock_geo_001,accepted,live_market_snapshots:volume,diagnostic local live-style fixture; source availability varies,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,11.06665398721974,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,10.968215530759236,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate
