ledger_id,source_id,thesis_area,linked_evidence_ids,review_depth,page_or_section_note,claim_support_decision,blocked_wording_check,citation_use_decision,reviewed_by,reviewed_at,source_status_recommendation,final_citation_ready,needs_student_action
rev_10_zotero_poly_009,zotero_poly_009,monitor_prototype,interpretation_monitor_review_queue;method_monitor_prototype,fulltext_read,Information discovery nicht Truth-Machine; Reflexivitaet; Branchen-Kommentar,supported,pass,monitor_context_appendix_cite,assistant_preverify,2026-06-16,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_kyle_001,H3/informierter Handel,,preverify,"Insider-Modell: Order im Fluss verborgen, abnormale Handelsgroesse",supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,zotero_delvecchio_001,H3/Signatur,,preverify,"Informierter Handel via Abnormal-Trade-Size, verstaerkt gegen Aufloesung (Kalshi)",supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,news_polymarket_integrity_001,H3/Praxis,,preverify,"Integrity-Tools, Flag ungewoehnlicher Positionsgroesse (Decrypt 2026)",supported,ok,cite,assistant_preverify,2026-06-17,accept_news,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,news_chainalysis_forensics_001,H3/Praxis,,preverify,"Forensik-Heuristiken: Funding-Quellen, Wallet-Clustering",supported,ok,cite,assistant_preverify,2026-06-17,accept_news,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_wolfers_2004,Kap2 Aggregation/Effizienz,,preverify,Maerkte aggregieren verteilte Info zu meist treffsicheren Forecasts (S. 107-126),supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_wolfers_2006,Kap2/Kap3 Preis=Wahrscheinlichkeit,,preverify,"Bedingungen, unter denen Preis mittleren Erwartungen entspricht (NBER 12200)",supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_manski_2006,Kap2/Kap8 Limitation,,preverify,Preis vermengt Erwartung und Risikopraeferenz; Vorsicht bei Preis=Wahrscheinlichkeit,supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_berg_2008,Kap2/H1 Markt-vs-Umfrage,,preverify,IEM schlagen Umfragen langfristig ~74%; Vorteil steigt mit Horizont,supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_arrow_2008,Kap2 Effizienz-Rahmung,,preverify,PM als legitimes informationsaggregierendes Forecast-Instrument (Science),supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_gneiting_2007,Kap2/Kap3 Messung,,preverify,Brier ist strikt-proper Scoring Rule; rechtfertigt H1-Metrik,supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_iem_2024,Kap2/H1 aktuell,,preverify,"IEM-Forecast 2024, Markt-vs-Umfrage",supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
,lit_poly24_accuracy,Kap2/Kap8 Gegenakzent,,preverify,"Plattformuebergreifend gemischte Trefferquote, Polymarket niedriger (67%)",supported,ok,cite,assistant_preverify,2026-06-17,accept,FALSE,Schluss-Attestierung (gelesen bestaetigen)
