timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,baseline_window,baseline_observations,rolling_median,rolling_mad,robust_z,rolling_percentile_rank,severity,status,event_candidate_id,event_review_status,evidence_refs,limitation,review_status,claim_scope
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,hhi_concentration,0.51,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_wallet_tier_snapshots:hhi_concentration,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,market,spread_liquidity,spread,0.02,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_market_snapshots:spread,diagnostic local live-style fixture; source availability varies,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,market,spread_liquidity,spread,0.02,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_market_snapshots:spread,diagnostic local live-style fixture; source availability varies,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,market,spread_liquidity,spread,0.02,last_3_completed_observations,2,0.02,0.0,,1.0,none,zero_mad,event_candidate_mock_geo_001,accepted,live_market_snapshots:spread,diagnostic local live-style fixture; source availability varies,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,market,spread_liquidity,spread,0.02,last_3_completed_observations,3,0.02,0.0,,1.0,none,zero_mad,event_candidate_mock_geo_001,accepted,live_market_snapshots:spread,diagnostic local live-style fixture; source availability varies,candidate,descriptive_monitor_alert_only
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,market,volume_activity,volume,1000.0,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_market_snapshots:volume,diagnostic local live-style fixture; source availability varies,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,market,volume_activity,volume,1125.0,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_market_snapshots:volume,diagnostic local live-style fixture; source availability varies,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,market,volume_activity,volume,1840.0,last_3_completed_observations,2,1062.5,62.5,8.390665047888845,1.0,high,ok,event_candidate_mock_geo_001,accepted,live_market_snapshots:volume,diagnostic local live-style fixture; source availability varies,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,market,volume_activity,volume,1550.0,last_3_completed_observations,3,1125.0,125.0,2.2932685822204237,0.6666666666666666,info,ok,event_candidate_mock_geo_001,accepted,live_market_snapshots:volume,diagnostic local live-style fixture; source availability varies,candidate,descriptive_monitor_alert_only
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,active_wallet_activity,active_wallets,2.0,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,active_wallet_activity,active_wallets,3.0,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,active_wallet_activity,active_wallets,7.0,last_3_completed_observations,2,2.5,0.5,6.070416835289357,1.0,high,ok,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,active_wallet_activity,active_wallets,4.0,last_3_completed_observations,3,3.0,1.0,0.6744907594765952,0.6666666666666666,none,ok,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate,descriptive_monitor_alert_only
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,10.12667110305036,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,10.645448706505872,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,11.736077016252437,last_3_completed_observations,2,10.386059904778115,0.2593888017277566,3.5104602078404863,1.0,high,ok,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,11.06665398721974,last_3_completed_observations,3,10.645448706505872,0.5187776034555132,0.5476317169282173,0.6666666666666666,none,ok,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,active_wallet_activity,active_wallets,14.0,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,active_wallet_activity,active_wallets,17.0,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,active_wallet_activity,active_wallets,22.0,last_3_completed_observations,2,15.5,1.5,2.9227932910652457,1.0,watch,ok,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,active_wallet_activity,active_wallets,18.0,last_3_completed_observations,3,17.0,3.0,0.22483025315886507,0.6666666666666666,none,ok,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:active_wallets,aggregate diagnostic fixture active-wallet tier count; no wallet addresses,candidate,descriptive_monitor_alert_only
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,10.714439990727769,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,10.819798284210286,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,11.034905792929415,last_3_completed_observations,2,10.767119137469027,0.05267914674125862,3.428674072993511,1.0,high,ok,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,10.968215530759236,last_3_completed_observations,3,10.819798284210286,0.10535829348251724,0.9501488495619745,0.6666666666666666,none,ok,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:total_observed_amount_usd,aggregate diagnostic fixture wallet-tier replay; no wallet addresses or wallet-performance claim,candidate,descriptive_monitor_alert_only
