packet_id,source_id,source_status,source_title,final_citation_readiness,citation_risk,evidence_id,thesis_area,item_type,claim_or_decision,primary_artifact,allowed_wording,blocked_wording,main_limitation,review_question,required_check,draft_use_allowed,final_citation_gate,reviewer_page_or_section_note,reviewer_decision,reviewer_notes
lit_eventstudy_001__interpretation_h2_daily_response,lit_eventstudy_001,skimmed,Event Studies in Economics and Finance,needs_full_source_review_before_final_citation,medium,interpretation_h2_daily_response,H2,interpretation,"Curated events show visible daily Polymarket movement, strongest in the Trump shooting primary window.",data/results/h2_event_window_summary.csv,visible daily event-window movement,instant market reaction; causal event proof,"Direction and magnitude are event-window diagnostics, not intraday causal estimates.",Does this source support the interpretation boundary for H2 without extending beyond deterministic artifact evidence or implying 'instant market reaction; causal event proof'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_emh_001__interpretation_h2_daily_response,lit_emh_001,skimmed,Efficient Capital Markets: A Review of Theory and Empirical Work,needs_full_source_review_before_final_citation,medium,interpretation_h2_daily_response,H2,interpretation,"Curated events show visible daily Polymarket movement, strongest in the Trump shooting primary window.",data/results/h2_event_window_summary.csv,visible daily event-window movement,instant market reaction; causal event proof,"Direction and magnitude are event-window diagnostics, not intraday causal estimates.",Does this source support the interpretation boundary for H2 without extending beyond deterministic artifact evidence or implying 'instant market reaction; causal event proof'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_eventstudy_001__method_h2_event_window,lit_eventstudy_001,skimmed,Event Studies in Economics and Finance,needs_full_source_review_before_final_citation,medium,method_h2_event_window,H2,method,Daily public-event response is evaluated with pre-curated events and fixed event windows.,data/results/h2_event_window_summary.csv,daily event-window response around pre-curated public events,intraday speed claim; post-hoc event selection,Daily prices cannot identify intraday reaction timing.,Does this source justify the H2 method choice 'Daily public-event response is evaluated with pre-curated events and fixed event windows.' and support the allowed wording 'daily event-window response around pre-curated public events' without implying 'intraday speed claim; post-hoc event selection'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_emh_001__method_h2_event_window,lit_emh_001,skimmed,Efficient Capital Markets: A Review of Theory and Empirical Work,needs_full_source_review_before_final_citation,medium,method_h2_event_window,H2,method,Daily public-event response is evaluated with pre-curated events and fixed event windows.,data/results/h2_event_window_summary.csv,daily event-window response around pre-curated public events,intraday speed claim; post-hoc event selection,Daily prices cannot identify intraday reaction timing.,Does this source justify the H2 method choice 'Daily public-event response is evaluated with pre-curated events and fixed event windows.' and support the allowed wording 'daily event-window response around pre-curated public events' without implying 'intraday speed claim; post-hoc event selection'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_001__method_h2_event_window,zotero_poly_001,skimmed,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,needs_full_source_review_before_final_citation,medium,method_h2_event_window,H2,method,Daily public-event response is evaluated with pre-curated events and fixed event windows.,data/results/h2_event_window_summary.csv,daily event-window response around pre-curated public events,intraday speed claim; post-hoc event selection,Daily prices cannot identify intraday reaction timing.,Does this source justify the H2 method choice 'Daily public-event response is evaluated with pre-curated events and fixed event windows.' and support the allowed wording 'daily event-window response around pre-curated public events' without implying 'intraday speed claim; post-hoc event selection'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_granger_001__interpretation_h3_top_tier_signal,lit_granger_001,skimmed,Investigating Causal Relations by Econometric Models and Cross-Spectral Methods,needs_full_source_review_before_final_citation,medium,interpretation_h3_top_tier_signal,H3,interpretation,The top wallet tier shows the clearest deterministic timing pattern in the current H3 baseline.,data/results/thesis_h3_summary.csv,top-tier timing pattern; predictive diagnostic,private-information proof; causal misconduct; tradable strategy,Signal strength is diagnostic and needs sensitivity/multiple-testing caution.,Does this source support the interpretation boundary for H3 without extending beyond deterministic artifact evidence or implying 'private-information proof; causal misconduct; tradable strategy'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_005__interpretation_h3_top_tier_signal,zotero_poly_005,skimmed,Insider Trading and Prediction Markets,needs_full_source_review_before_final_citation,medium,interpretation_h3_top_tier_signal,H3,interpretation,The top wallet tier shows the clearest deterministic timing pattern in the current H3 baseline.,data/results/thesis_h3_summary.csv,top-tier timing pattern; predictive diagnostic,private-information proof; causal misconduct; tradable strategy,Signal strength is diagnostic and needs sensitivity/multiple-testing caution.,Does this source support the interpretation boundary for H3 without extending beyond deterministic artifact evidence or implying 'private-information proof; causal misconduct; tradable strategy'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_001__interpretation_h3_top_tier_signal,zotero_poly_001,skimmed,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,needs_full_source_review_before_final_citation,medium,interpretation_h3_top_tier_signal,H3,interpretation,The top wallet tier shows the clearest deterministic timing pattern in the current H3 baseline.,data/results/thesis_h3_summary.csv,top-tier timing pattern; predictive diagnostic,private-information proof; causal misconduct; tradable strategy,Signal strength is diagnostic and needs sensitivity/multiple-testing caution.,Does this source support the interpretation boundary for H3 without extending beyond deterministic artifact evidence or implying 'private-information proof; causal misconduct; tradable strategy'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_granger_001__method_h3_granger_timing,lit_granger_001,skimmed,Investigating Causal Relations by Econometric Models and Cross-Spectral Methods,needs_full_source_review_before_final_citation,medium,method_h3_granger_timing,H3,method,Lead-lag correlations and Granger tests are used as predictive timing diagnostics.,data/results/h3_granger_results.csv,predictive timing diagnostic under model assumptions,causality proof; private information proof; profitability proof,"Daily alignment, multiple testing, and BUY-only extraction limit conclusion strength.",Does this source justify the H3 method choice 'Lead-lag correlations and Granger tests are used as predictive timing diagnostics.' and support the allowed wording 'predictive timing diagnostic under model assumptions' without implying 'causality proof; private information proof; profitability proof'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_005__method_h3_granger_timing,zotero_poly_005,skimmed,Insider Trading and Prediction Markets,needs_full_source_review_before_final_citation,medium,method_h3_granger_timing,H3,method,Lead-lag correlations and Granger tests are used as predictive timing diagnostics.,data/results/h3_granger_results.csv,predictive timing diagnostic under model assumptions,causality proof; private information proof; profitability proof,"Daily alignment, multiple testing, and BUY-only extraction limit conclusion strength.",Does this source justify the H3 method choice 'Lead-lag correlations and Granger tests are used as predictive timing diagnostics.' and support the allowed wording 'predictive timing diagnostic under model assumptions' without implying 'causality proof; private information proof; profitability proof'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_001__method_h3_wallet_tiers,zotero_poly_001,skimmed,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,needs_full_source_review_before_final_citation,medium,method_h3_wallet_tiers,H3,method,"Wallet groups are defined by dataset-relative cumulative amount percentiles, not fixed whale thresholds.",data/results/h3_wallet_distribution_inventory.json,dataset-relative wallet tiers,arbitrary whale threshold; identified private-information wallets,Observed wallet data are BUY-only and source-filtered.,"Does this source justify the H3 method choice 'Wallet groups are defined by dataset-relative cumulative amount percentiles, not fixed whale thresholds.' and support the allowed wording 'dataset-relative wallet tiers' without implying 'arbitrary whale threshold; identified private-information wallets'?","Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_005__method_h3_wallet_tiers,zotero_poly_005,skimmed,Insider Trading and Prediction Markets,needs_full_source_review_before_final_citation,medium,method_h3_wallet_tiers,H3,method,"Wallet groups are defined by dataset-relative cumulative amount percentiles, not fixed whale thresholds.",data/results/h3_wallet_distribution_inventory.json,dataset-relative wallet tiers,arbitrary whale threshold; identified private-information wallets,Observed wallet data are BUY-only and source-filtered.,"Does this source justify the H3 method choice 'Wallet groups are defined by dataset-relative cumulative amount percentiles, not fixed whale thresholds.' and support the allowed wording 'dataset-relative wallet tiers' without implying 'arbitrary whale threshold; identified private-information wallets'?","Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_007__method_h3_wallet_tiers,zotero_poly_007,skimmed,Analysis of Prediction Markets in Crypto: Investigating Convergence in Time Volatility and Biases in Polymarket,needs_full_source_review_before_final_citation,medium,method_h3_wallet_tiers,H3,method,"Wallet groups are defined by dataset-relative cumulative amount percentiles, not fixed whale thresholds.",data/results/h3_wallet_distribution_inventory.json,dataset-relative wallet tiers,arbitrary whale threshold; identified private-information wallets,Observed wallet data are BUY-only and source-filtered.,"Does this source justify the H3 method choice 'Wallet groups are defined by dataset-relative cumulative amount percentiles, not fixed whale thresholds.' and support the allowed wording 'dataset-relative wallet tiers' without implying 'arbitrary whale threshold; identified private-information wallets'?","Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_006__future_agent_pipeline_guarded,zotero_poly_006,skimmed,Makers and Takers: The Economics of the Kalshi Prediction Market,needs_full_source_review_before_final_citation,medium,future_agent_pipeline_guarded,future_agents,future_work,"Future agents may improve drafting, review triage, and source-check workflows only from bounded deterministic summaries.",docs/research/STRATEGY_AGENT_ARCHITECTURE.md,future audited assistant layer over bounded summaries,agent-computed metrics; raw table prompts; autonomous trading; unlogged LLM interpretation,Implementation remains deferred until deterministic thesis package and audit logging are complete.,"Is this source suitable only for the planned future_agents future-work framing, without supporting active thesis metrics or runtime agents?","Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_010__future_agent_pipeline_guarded,zotero_poly_010,candidate,PolyBench: 5 of 7 LLMs cannot outperform market with news context,not_allowed_for_thesis_facing_claims,high,future_agent_pipeline_guarded,future_agents,future_work,"Future agents may improve drafting, review triage, and source-check workflows only from bounded deterministic summaries.",docs/research/STRATEGY_AGENT_ARCHITECTURE.md,future audited assistant layer over bounded summaries,agent-computed metrics; raw table prompts; autonomous trading; unlogged LLM interpretation,Implementation remains deferred until deterministic thesis package and audit logging are complete.,"Is this source suitable only for the planned future_agents future-work framing, without supporting active thesis metrics or runtime agents?","Verify metadata, source quality, and relevance before using this source beyond future-work question framing.",False,metadata_and_relevance_review_before_future_work_use,,pending,
zotero_poly_006__interpretation_monitor_review_queue,zotero_poly_006,skimmed,Makers and Takers: The Economics of the Kalshi Prediction Market,needs_full_source_review_before_final_citation,medium,interpretation_monitor_review_queue,monitor_prototype,interpretation,The queue is useful as a review workflow but not as evidence of causes or market inefficiency.,data/results/monitor_anomaly_review_summary.csv,human-review workflow and appendix material,causal claim; misconduct claim; efficiency conclusion; profit claim,All current cases remain pending manual source and thesis-use review.,Does this source support the interpretation boundary for monitor_prototype without extending beyond deterministic artifact evidence or implying 'causal claim; misconduct claim; efficiency conclusion; profit claim'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_009__interpretation_monitor_review_queue,zotero_poly_009,skimmed,Unveiling Polymarket: The Positioning Expansion and Shadows of Crypto Prediction Markets,needs_full_source_review_before_final_citation,medium,interpretation_monitor_review_queue,monitor_prototype,interpretation,The queue is useful as a review workflow but not as evidence of causes or market inefficiency.,data/results/monitor_anomaly_review_summary.csv,human-review workflow and appendix material,causal claim; misconduct claim; efficiency conclusion; profit claim,All current cases remain pending manual source and thesis-use review.,Does this source support the interpretation boundary for monitor_prototype without extending beyond deterministic artifact evidence or implying 'causal claim; misconduct claim; efficiency conclusion; profit claim'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_001__method_monitor_prototype,zotero_poly_001,skimmed,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,needs_full_source_review_before_final_citation,medium,method_monitor_prototype,monitor_prototype,method,"The monitor prototype combines market movement, aggregate wallet-tier activity, concentration, and event context as review cues.",data/results/monitor_anomaly_review_summary.csv,deterministic human-review cue; prototype monitor,thesis evidence before review; private information proof; trading signal,Current cases remain source-check pending and blocked from thesis-facing use.,"Does this source justify the monitor_prototype method choice 'The monitor prototype combines market movement, aggregate wallet-tier activity, concentration, and event context as review cues.' and support the allowed wording 'deterministic human-review cue; prototype monitor' without implying 'thesis evidence before review; private information proof; trading signal'?","Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_006__method_monitor_prototype,zotero_poly_006,skimmed,Makers and Takers: The Economics of the Kalshi Prediction Market,needs_full_source_review_before_final_citation,medium,method_monitor_prototype,monitor_prototype,method,"The monitor prototype combines market movement, aggregate wallet-tier activity, concentration, and event context as review cues.",data/results/monitor_anomaly_review_summary.csv,deterministic human-review cue; prototype monitor,thesis evidence before review; private information proof; trading signal,Current cases remain source-check pending and blocked from thesis-facing use.,"Does this source justify the monitor_prototype method choice 'The monitor prototype combines market movement, aggregate wallet-tier activity, concentration, and event context as review cues.' and support the allowed wording 'deterministic human-review cue; prototype monitor' without implying 'thesis evidence before review; private information proof; trading signal'?","Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_009__method_monitor_prototype,zotero_poly_009,skimmed,Unveiling Polymarket: The Positioning Expansion and Shadows of Crypto Prediction Markets,needs_full_source_review_before_final_citation,medium,method_monitor_prototype,monitor_prototype,method,"The monitor prototype combines market movement, aggregate wallet-tier activity, concentration, and event context as review cues.",data/results/monitor_anomaly_review_summary.csv,deterministic human-review cue; prototype monitor,thesis evidence before review; private information proof; trading signal,Current cases remain source-check pending and blocked from thesis-facing use.,"Does this source justify the monitor_prototype method choice 'The monitor prototype combines market movement, aggregate wallet-tier activity, concentration, and event context as review cues.' and support the allowed wording 'deterministic human-review cue; prototype monitor' without implying 'thesis evidence before review; private information proof; trading signal'?","Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_002__interpretation_swiss_gap_pending,zotero_poly_002,skimmed,Are Betting Markets Better than Polling in Predicting Political Elections?,needs_full_source_review_before_final_citation,medium,interpretation_swiss_gap_pending,swiss_referendum,interpretation,"In the Swiss final case, final polls are closer to the official Yes share, while Polymarket carries the clearer rejection signal in the binary proxy view.",data/results/swiss_referendum_10mio_final_case_study.csv,polls closer on vote share; Polymarket stronger rejection signal,Polymarket predicted the vote share better; efficiency proof; tradeable signal,"The binary comparison treats poll shares only as transparent proxies, not as true win-probability forecasts.",Does this source support the interpretation boundary for swiss_referendum without extending beyond deterministic artifact evidence or implying 'Polymarket predicted the vote share better; efficiency proof; tradeable signal'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
zotero_poly_002__method_swiss_running_comparison,zotero_poly_002,skimmed,Are Betting Markets Better than Polling in Predicting Political Elections?,needs_full_source_review_before_final_citation,medium,method_swiss_running_comparison,swiss_referendum,method,Swiss referendum final case study maps the official result to Polymarket prices and poll shares with separate vote-share and binary proxy comparison modes.,data/results/swiss_referendum_10mio_final_case_study.csv,post-result bounded vote-share comparison; binary outcome proxy with limitation,mispricing proof; final efficiency proof; trade signal; Polymarket vote-share forecast,Polymarket prices are not vote-share forecasts and poll shares are not true win probabilities.,Does this source justify the swiss_referendum method choice 'Swiss referendum final case study maps the official result to Polymarket prices and poll shares with separate vote-share and binary proxy comparison modes.' and support the allowed wording 'post-result bounded vote-share comparison; binary outcome proxy with limitation' without implying 'mispricing proof; final efficiency proof; trade signal; Polymarket vote-share forecast'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
lit_brier_001__method_swiss_running_comparison,lit_brier_001,skimmed,Verification of Forecasts Expressed in Terms of Probability,needs_full_source_review_before_final_citation,medium,method_swiss_running_comparison,swiss_referendum,method,Swiss referendum final case study maps the official result to Polymarket prices and poll shares with separate vote-share and binary proxy comparison modes.,data/results/swiss_referendum_10mio_final_case_study.csv,post-result bounded vote-share comparison; binary outcome proxy with limitation,mispricing proof; final efficiency proof; trade signal; Polymarket vote-share forecast,Polymarket prices are not vote-share forecasts and poll shares are not true win probabilities.,Does this source justify the swiss_referendum method choice 'Swiss referendum final case study maps the official result to Polymarket prices and poll shares with separate vote-share and binary proxy comparison modes.' and support the allowed wording 'post-result bounded vote-share comparison; binary outcome proxy with limitation' without implying 'mispricing proof; final efficiency proof; trade signal; Polymarket vote-share forecast'?,"Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims.",True,full_source_review_required_before_final_citation,,pending,
