decision_packet_id,source_id,evidence_id,thesis_area,item_type,source_priority_order,priority_band,access_route,structure_inventory_status,primary_artifact,primary_artifact_exists,draft_use_allowed,final_citation_gate,reviewer_decision,reviewer_page_or_section_note,reviewer_claim_support_decision,required_manual_decision_de,decision_options_de,final_thesis_use_status,do_not_claim_de
decision_lit_emh_001__method_h2_event_window,lit_emh_001,method_h2_event_window,H2,method,3,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h2_event_window_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: intraday speed claim; post-hoc event selection"
decision_lit_eventstudy_001__interpretation_h2_daily_response,lit_eventstudy_001,interpretation_h2_daily_response,H2,interpretation,4,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h2_event_window_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: instant market reaction; causal event proof"
decision_lit_eventstudy_001__method_h2_event_window,lit_eventstudy_001,method_h2_event_window,H2,method,4,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h2_event_window_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: intraday speed claim; post-hoc event selection"
decision_zotero_poly_001__method_h2_event_window,zotero_poly_001,method_h2_event_window,H2,method,6,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/h2_event_window_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: intraday speed claim; post-hoc event selection"
decision_lit_granger_001__interpretation_h3_top_tier_signal,lit_granger_001,interpretation_h3_top_tier_signal,H3,interpretation,5,priority_1_method_foundation_review,external_locator_review,external_only,data/results/thesis_h3_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: private-information proof; causal misconduct; tradable strategy"
decision_lit_granger_001__method_h3_granger_timing,lit_granger_001,method_h3_granger_timing,H3,method,5,priority_1_method_foundation_review,external_locator_review,external_only,data/results/h3_granger_results.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: causality proof; private information proof; profitability proof"
decision_zotero_poly_001__interpretation_h3_top_tier_signal,zotero_poly_001,interpretation_h3_top_tier_signal,H3,interpretation,6,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/thesis_h3_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: private-information proof; causal misconduct; tradable strategy"
decision_zotero_poly_001__method_h3_wallet_tiers,zotero_poly_001,method_h3_wallet_tiers,H3,method,6,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/h3_wallet_distribution_inventory.json,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: arbitrary whale threshold; identified private-information wallets"
decision_zotero_poly_005__interpretation_h3_top_tier_signal,zotero_poly_005,interpretation_h3_top_tier_signal,H3,interpretation,8,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/thesis_h3_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: private-information proof; causal misconduct; tradable strategy"
decision_zotero_poly_005__method_h3_granger_timing,zotero_poly_005,method_h3_granger_timing,H3,method,8,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/h3_granger_results.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: causality proof; private information proof; profitability proof"
decision_zotero_poly_005__method_h3_wallet_tiers,zotero_poly_005,method_h3_wallet_tiers,H3,method,8,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/h3_wallet_distribution_inventory.json,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: arbitrary whale threshold; identified private-information wallets"
decision_zotero_poly_007__method_h3_wallet_tiers,zotero_poly_007,method_h3_wallet_tiers,H3,method,10,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/h3_wallet_distribution_inventory.json,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: arbitrary whale threshold; identified private-information wallets"
decision_zotero_poly_006__future_agent_pipeline_guarded,zotero_poly_006,future_agent_pipeline_guarded,future_agents,future_work,9,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,docs/research/STRATEGY_AGENT_ARCHITECTURE.md,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: agent-computed metrics; raw table prompts; autonomous trading; unlogged LLM interpretation"
decision_zotero_poly_010__future_agent_pipeline_guarded,zotero_poly_010,future_agent_pipeline_guarded,future_agents,future_work,12,blocked_or_future_work_only,local_pdf_review,local_pdf_structure_available,docs/research/STRATEGY_AGENT_ARCHITECTURE.md,True,False,metadata_and_relevance_review_before_future_work_use,pending,,pending,Manuelle Metadata-/Relevance-Entscheidung eintragen; keine finale Zitation. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.,pending; future_work_metadata_ok; future_work_reject; needs_locator_review,blocked_future_work_metadata_only,"Keine thesis-facing Claims und keine Quellenstatus-Hochstufung. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: agent-computed metrics; raw table prompts; autonomous trading; unlogged LLM interpretation"
decision_zotero_poly_001__method_monitor_prototype,zotero_poly_001,method_monitor_prototype,monitor_prototype,method,6,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/monitor_anomaly_review_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: thesis evidence before review; private information proof; trading signal"
decision_zotero_poly_006__interpretation_monitor_review_queue,zotero_poly_006,interpretation_monitor_review_queue,monitor_prototype,interpretation,9,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/monitor_anomaly_review_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: causal claim; misconduct claim; efficiency conclusion; profit claim"
decision_zotero_poly_006__method_monitor_prototype,zotero_poly_006,method_monitor_prototype,monitor_prototype,method,9,priority_1_method_foundation_review,local_pdf_review,local_pdf_structure_available,data/results/monitor_anomaly_review_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: thesis evidence before review; private information proof; trading signal"
decision_zotero_poly_009__interpretation_monitor_review_queue,zotero_poly_009,interpretation_monitor_review_queue,monitor_prototype,interpretation,11,priority_1_method_foundation_review,local_html_context_review,local_html_structure_available,data/results/monitor_anomaly_review_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: HTML manuell pruefen; nur Kontext nutzen, wenn Quelle nicht akademisch ist.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: causal claim; misconduct claim; efficiency conclusion; profit claim"
decision_zotero_poly_009__method_monitor_prototype,zotero_poly_009,method_monitor_prototype,monitor_prototype,method,11,priority_1_method_foundation_review,local_html_context_review,local_html_structure_available,data/results/monitor_anomaly_review_summary.csv,True,True,full_source_review_required_before_final_citation,pending,,pending,"Manuelle Full-Source-Review eintragen: Page-/Section-Note, Claim-Support-Entscheidung und Blocked-Wording-Check. Read the source against this evidence row, record page or section support, and confirm the source supports the allowed wording without blocked claims. Strukturhinweis: HTML manuell pruefen; nur Kontext nutzen, wenn Quelle nicht akademisch ist.",pending; supports_allowed_wording; supports_with_limitation; does_not_support; needs_more_review,blocked_final_citation_pending_manual_review,"Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: thesis evidence before review; private information proof; trading signal"
