case_id,timestamp_utc,market_id,market_slug,question,review_priority,priority_basis,trigger_family,market_move_context,wallet_flow_context,concentration_context,event_context_status,reference_overlap_status,review_label,missing_evidence,human_review_status,review_status_updated_at_utc,review_note,reviewer,review_source_url,event_source_url,allowed_interpretation,blocked_claims,source_artifacts
monitor_candidate_20260522_205500_31bc7f1998f4,2026-05-22T20:55:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=not_evaluated,wallet_tier_activity,no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=log1p_total_observed_amount_usd,total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=not_triggered; coordination_label=single_wallet_single_trade; triggered_patterns=large_trade_flow,same_theme_repeated_positions",not_evaluated,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_205500_4902be7e4cdb,2026-05-22T20:55:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,source_priority=medium; max_severity=watch; max_percentile_rank=1.000; family_count=2; reference_overlap=reference_hit; event_context=not_evaluated,"concentration,wallet_tier_activity","no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=hhi_concentration,log1p_total_observed_amount_usd,top_tier_share",total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=present; coordination_label=single_wallet_single_trade; triggered_patterns=large_trade_flow,market_concentration,same_theme_repeated_positions",not_evaluated,reference_hit,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_211000_9c25d1497516,2026-05-22T21:10:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=not_evaluated,concentration,"no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=hhi_concentration,top_tier_share",total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=present; coordination_label=single_wallet_single_trade; triggered_patterns=market_concentration,same_theme_repeated_positions",not_evaluated,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_211500_40799b054be7,2026-05-22T21:15:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=not_evaluated,concentration,"no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=hhi_concentration,top_tier_share",total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=present; coordination_label=single_wallet_single_trade; triggered_patterns=market_concentration,same_theme_repeated_positions",not_evaluated,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_212000_24b874775afe,2026-05-22T21:20:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=not_evaluated,wallet_tier_activity,no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=log1p_total_observed_amount_usd,total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=not_triggered; coordination_label=single_wallet_single_trade; triggered_patterns=large_trade_flow,same_theme_repeated_positions",not_evaluated,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_212000_a8030671b168,2026-05-22T21:20:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=not_evaluated,concentration,"no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=hhi_concentration,top_tier_share",total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=present; coordination_label=single_wallet_single_trade; triggered_patterns=market_concentration,same_theme_repeated_positions",not_evaluated,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_220000_997f5287203d,2026-05-22T22:00:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=not_evaluated,concentration,"no_market_move_anomaly_in_candidate; midpoint_range=0.142-0.858; metrics=hhi_concentration,top_tier_share",total_observed_amount_usd=107.1250; active_wallets=1.0000; trade_count=1.0000; amount_per_wallet_usd=107.1250; materiality=below_one_percent_of_reference,"concentration_context=present; coordination_label=single_wallet_single_trade; triggered_patterns=market_concentration,same_theme_repeated_positions",not_evaluated,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_220500_07a19a12b63b,2026-05-22T22:05:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=not_evaluated,wallet_tier_activity,no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=log1p_total_observed_amount_usd,total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=not_triggered; coordination_label=single_wallet_single_trade; triggered_patterns=large_trade_flow,same_theme_repeated_positions",not_evaluated,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_221000_f0f7ebf8e213,2026-05-22T22:10:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=not_evaluated,wallet_tier_activity,no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=log1p_total_observed_amount_usd,total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=not_triggered; coordination_label=single_wallet_single_trade; triggered_patterns=large_trade_flow,same_theme_repeated_positions",not_evaluated,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,needs_human_review,,,,,,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260523_192500_71cd3b4e784b,2026-05-23T19:25:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,source_priority=medium; max_severity=info; max_percentile_rank=1.000; family_count=1; reference_overlap=partial_reference_overlap; event_context=nearest_event_only,concentration,"no_market_move_anomaly_in_candidate; midpoint_range=missing-missing; metrics=hhi_concentration,top_tier_share",total_observed_amount_usd=0.0000; active_wallets=0.0000; trade_count=0.0000; amount_per_wallet_usd=0.0000; materiality=below_one_percent_of_reference,"concentration_context=present; coordination_label=single_wallet_single_trade; triggered_patterns=market_concentration,same_theme_repeated_positions",nearest_event_only,partial_reference_overlap,insider_risk_watch_cue,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,source_check_pending,2026-06-11T18:31:30Z,Source check opened; Polymarket market page verified; May 18 Guardian context records public US-Iran escalation discussion before the candidate bucket; no causal event mapping or private-information claim,codex_source_check,https://polymarket.com/event/will-the-us-invade-iran-before-2027,https://www.theguardian.com/us-news/2026/may/18/first-thing-trump-warns-clock-is-ticking-for-iran-to-secure-peace-deal,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,monitor_anomaly_review_queue.csv;monitor_detection_backtest_cases.csv;monitor_literature_risk_score_summary.csv;monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
