case_id,packet_id,market_slug,question,review_priority,human_review_status,source_check_status,source_context,evidence_status,missing_evidence,next_review_step,allowed_interpretation,blocked_claims,future_mcp_access,future_agent_access,source_queue_artifact
monitor_candidate_20260522_205500_31bc7f1998f4,case_review_packet_monitor_candidate_20260522_205500_31bc7f1998f4,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_205500_4902be7e4cdb,case_review_packet_monitor_candidate_20260522_205500_4902be7e4cdb,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=reference_hit,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_211000_9c25d1497516,case_review_packet_monitor_candidate_20260522_211000_9c25d1497516,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_211500_40799b054be7,case_review_packet_monitor_candidate_20260522_211500_40799b054be7,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_212000_24b874775afe,case_review_packet_monitor_candidate_20260522_212000_24b874775afe,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_212000_a8030671b168,case_review_packet_monitor_candidate_20260522_212000_a8030671b168,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_220000_997f5287203d,case_review_packet_monitor_candidate_20260522_220000_997f5287203d,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_220500_07a19a12b63b,case_review_packet_monitor_candidate_20260522_220500_07a19a12b63b,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260522_221000_f0f7ebf8e213,case_review_packet_monitor_candidate_20260522_221000_f0f7ebf8e213,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260523_192500_71cd3b4e784b,case_review_packet_monitor_candidate_20260523_192500_71cd3b4e784b,will-the-us-invade-iran-before-2027,Will the U.S. invade Iran before 2027?,medium,source_check_pending,public_sources_recorded_pending_human_acceptance,review_source_url=https://polymarket.com/event/will-the-us-invade-iran-before-2027; event_source_url=https://www.theguardian.com/us-news/2026/may/18/first-thing-trump-warns-clock-is-ticking-for-iran-to-secure-peace-deal; reviewer=codex_source_check; updated_at_utc=2026-06-11T18:31:30Z; review_note=Source check opened; Polymarket market page verified; May 18 Guardian context records public US-Iran escalation discussion before the candidate bucket; no causal event mapping or private-information claim,public_sources_recorded_but_evidence_incomplete; event_context=nearest_event_only; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,"Review source timestamps, repeat-bucket evidence, market mapping, materiality, and missing evidence; then mark reviewed_keep_candidate, reviewed_false_context, or thesis_excluded.",Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260711_043000_c4915e2197ca,case_review_packet_monitor_candidate_20260711_043000_c4915e2197ca,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260712_043000_99ab9e8ce0da,case_review_packet_monitor_candidate_20260712_043000_99ab9e8ce0da,will-josh-shapiro-win-the-2028-democratic-presidential-nomination-977,Will Josh Shapiro win the 2028 Democratic presidential nomination?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260712_043000_ca862e76e221,case_review_packet_monitor_candidate_20260712_043000_ca862e76e221,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260713_043000_5b68f4fe078f,case_review_packet_monitor_candidate_20260713_043000_5b68f4fe078f,xi-jinping-out-before-2027,Xi Jinping out before 2027?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260716_043000_2a51690b697d,case_review_packet_monitor_candidate_20260716_043000_2a51690b697d,xi-jinping-out-before-2027,Xi Jinping out before 2027?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260720_043000_b781d9823e21,case_review_packet_monitor_candidate_20260720_043000_b781d9823e21,will-josh-shapiro-win-the-2028-democratic-presidential-nomination-977,Will Josh Shapiro win the 2028 Democratic presidential nomination?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260721_043000_c2eb7db7da29,case_review_packet_monitor_candidate_20260721_043000_c2eb7db7da29,will-pete-buttigieg-win-the-2028-democratic-presidential-nomination-687,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
monitor_candidate_20260722_043000_41bdb9feb2bb,case_review_packet_monitor_candidate_20260722_043000_41bdb9feb2bb,will-josh-shapiro-win-the-2028-democratic-presidential-nomination-977,Will Josh Shapiro win the 2028 Democratic presidential nomination?,medium,needs_human_review,source_check_not_started,review_source_url=not_recorded; event_source_url=not_recorded; reviewer=not_recorded; updated_at_utc=not_recorded; review_note=not_recorded,human_review_required; event_context=not_evaluated; reference_context=partial_reference_overlap,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,Open public market and event/context sources; record source URLs; keep as review cue only.,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact,contract_only_bounded_case_summary; max_rows=50; no_raw_sql; no_wallet_address_by_default; no_order_path,contract_only_after_llm_audit_log; interpretation_only; no_metric_calculation,monitor_anomaly_review_queue.csv
