ledger_id,note_id,thesis_area,section_id,source_id,evidence_id,item_type,selected_table,selected_figure,deterministic_artifact,access_route,manual_locator_task_de,review_status,page_or_section_note,claim_support_decision,blocked_wording_check,citation_use_decision,reviewed_by,reviewed_at,review_comment_de,review_progress_state,source_status_change_allowed,final_citation_ready,preserved_manual_fields,do_not_claim_de,next_action_de
ledger_h2_lit_emh_001__interpretation_h2_daily_response,note_h2_lit_emh_001__interpretation_h2_daily_response,H2,core_section_h2,lit_emh_001,interpretation_h2_daily_response,interpretation,T3,F2,data/results/h2_event_window_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: sofortige Marktreaktion; kausaler Ereignisbeweis","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h2_lit_emh_001__method_h2_event_window,note_h2_lit_emh_001__method_h2_event_window,H2,core_section_h2,lit_emh_001,method_h2_event_window,method,T3,F2,data/results/h2_event_window_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Intraday-Geschwindigkeitsaussage; post-hoc Ereignisauswahl","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h2_lit_eventstudy_001__interpretation_h2_daily_response,note_h2_lit_eventstudy_001__interpretation_h2_daily_response,H2,core_section_h2,lit_eventstudy_001,interpretation_h2_daily_response,interpretation,T3,F2,data/results/h2_event_window_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: sofortige Marktreaktion; kausaler Ereignisbeweis","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h2_lit_eventstudy_001__method_h2_event_window,note_h2_lit_eventstudy_001__method_h2_event_window,H2,core_section_h2,lit_eventstudy_001,method_h2_event_window,method,T3,F2,data/results/h2_event_window_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Intraday-Geschwindigkeitsaussage; post-hoc Ereignisauswahl","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h2_zotero_poly_001__method_h2_event_window,note_h2_zotero_poly_001__method_h2_event_window,H2,core_section_h2,zotero_poly_001,method_h2_event_window,method,T3,F2,data/results/h2_event_window_summary.csv,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Intraday-Geschwindigkeitsaussage; post-hoc Ereignisauswahl","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h3_lit_granger_001__interpretation_h3_top_tier_signal,note_h3_lit_granger_001__interpretation_h3_top_tier_signal,H3,core_section_h3,lit_granger_001,interpretation_h3_top_tier_signal,interpretation,T4,F3,data/results/thesis_h3_summary.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Private-Information-Beweis; kausales Fehlverhalten; handelbare Strategie","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h3_lit_granger_001__method_h3_granger_timing,note_h3_lit_granger_001__method_h3_granger_timing,H3,core_section_h3,lit_granger_001,method_h3_granger_timing,method,T4,F3,data/results/h3_granger_results.csv,external_locator_review,"Externe DOI/JSTOR/URL manuell oeffnen; Locator, Seite oder Abschnitt eintragen.",pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Kausalitaetsbeweis; Private-Information-Beweis; Profitabilitaetsbeweis","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h3_zotero_poly_001__interpretation_h3_top_tier_signal,note_h3_zotero_poly_001__interpretation_h3_top_tier_signal,H3,core_section_h3,zotero_poly_001,interpretation_h3_top_tier_signal,interpretation,T4,F3,data/results/thesis_h3_summary.csv,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Private-Information-Beweis; kausales Fehlverhalten; handelbare Strategie","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h3_zotero_poly_001__method_h3_wallet_tiers,note_h3_zotero_poly_001__method_h3_wallet_tiers,H3,core_section_h3,zotero_poly_001,method_h3_wallet_tiers,method,T4,F3,data/results/h3_wallet_distribution_inventory.json,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: willkuerliche Whale-Schwelle; identifizierte Private-Information-Wallets","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h3_zotero_poly_005__interpretation_h3_top_tier_signal,note_h3_zotero_poly_005__interpretation_h3_top_tier_signal,H3,core_section_h3,zotero_poly_005,interpretation_h3_top_tier_signal,interpretation,T4,F3,data/results/thesis_h3_summary.csv,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Private-Information-Beweis; kausales Fehlverhalten; handelbare Strategie","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h3_zotero_poly_005__method_h3_granger_timing,note_h3_zotero_poly_005__method_h3_granger_timing,H3,core_section_h3,zotero_poly_005,method_h3_granger_timing,method,T4,F3,data/results/h3_granger_results.csv,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: Kausalitaetsbeweis; Private-Information-Beweis; Profitabilitaetsbeweis","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h3_zotero_poly_005__method_h3_wallet_tiers,note_h3_zotero_poly_005__method_h3_wallet_tiers,H3,core_section_h3,zotero_poly_005,method_h3_wallet_tiers,method,T4,F3,data/results/h3_wallet_distribution_inventory.json,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: willkuerliche Whale-Schwelle; identifizierte Private-Information-Wallets","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
ledger_h3_zotero_poly_007__method_h3_wallet_tiers,note_h3_zotero_poly_007__method_h3_wallet_tiers,H3,core_section_h3,zotero_poly_007,method_h3_wallet_tiers,method,T4,F3,data/results/h3_wallet_distribution_inventory.json,local_pdf_review,Lokales PDF manuell oeffnen; passende Seite oder Abschnitt finden; Page-/Section-Note eintragen.,pending_manual_review,,pending,pending,blocked_pending_manual_review,,,,pending_manual_review,False,False,False,"Keine Quellenstatus-Hochstufung, keine finale Zitation und keine thesis-facing Claims ohne manuelle Entscheidung. Keine Quellenstatus-Hochstufung und keine finale Zitation ohne manuelle Page-/Section-Note. Keine finale Zitation, keine Quellenstatus-Hochstufung und keine thesis-facing Claims ohne manuelle Entscheidung. Blocked wording: willkuerliche Whale-Schwelle; identifizierte Private-Information-Wallets","Source Review manuell starten: Page-/Section-Note, Claim-Support und Blocked-Wording erfassen."
